type,canonical_id,canonical_name,duplicate_id,duplicate_name,confidence,name_similarity
exact,P763B855,滝廉太郎,P50FF3CE,滝廉太郎,1.0,
exact,P36999B0,土門拳,P8C92EF1,土門拳,1.0,
exact,P90E4AC0,浅利慶太,PC47D16E,浅利慶太,1.0,
exact,P8B8E316,市村正親,P221E515,市村正親,1.0,
similar,P3437154,Conor McGregor,P856A4BA,Connor McGregor,0.9758620689655173,0.9655172413793104
similar,P972C987,クリスティアーノ・ロナウド,P58DC39B,クリスティアノ・ロナウド,0.972,0.96
similar,P886F664,レオナルド・ダ・ヴィンチ,P6A9254A,レオナルド・ダヴィンチ,0.9695652173913043,0.9565217391304348
similar,P031EF8,リチャード・ブランソン,PC685238,リチャード・ブランソン卿,0.9695652173913043,0.9565217391304348
similar,P7B1ACC7,ヘンリー・キッシンジャー,P626D166,ヘンリー・キシンジャー,0.9695652173913043,0.9565217391304348
similar,P8047D85,バレンティーノ・ロッシ,P33F24DF,バレンティノ・ロッシ,0.9666666666666666,0.9523809523809523
similar,P87EC325,ケイティ・レデッキー,PB71B698,ケイティー・レデッキー,0.9666666666666666,0.9523809523809523
similar,P0A87F42,エルンスト・ルビッチ,PB27D97A,エルンスト・ルビッチュ,0.9666666666666666,0.9523809523809523
similar,PE019053,アガサ・クリスティ,P53DE6AF,アガサ・クリスティー,0.963157894736842,0.9473684210526315
similar,P5DA1664,ジョニ・ミッチェル,P57C2797,ジョニー・ミッチェル,0.963157894736842,0.9473684210526315
similar,PECADA74,アントニ・ガウディ,PF96D42F,アントニオ・ガウディ,0.963157894736842,0.9473684210526315
similar,P8D5DEDF,デビッド・ベッカム,PE552DF3,デービッド・ベッカム,0.963157894736842,0.9473684210526315
similar,P53B1524,ジャック・ニクラス,P9553B6E,ジャック・ニクラウス,0.963157894736842,0.9473684210526315
similar,P29B8DBC,アレクサンドリア・オカシオ・コルテス,PCEEAB7A,アレクサンドリア・オカシオ=コルテス,0.961111111111111,0.9444444444444444
similar,P0023C1D,アンドリュー・ン,P2CA69CB,アンドリュー・ング,0.9588235294117646,0.9411764705882353
similar,P8D8CA51,ジョン・ロックフェラー・ジュニア,P61D9E21,ジョン・D・ロックフェラー・ジュニア,0.9588235294117646,0.9411764705882353
similar,P88A2240,ジェフ・ベゾス,P1D8FDFB,ジェフ・ベイゾス,0.9533333333333334,0.9333333333333333
similar,P1E4253,フリーダ・カーロ,PBF215B2,フリーダ・カロ,0.9533333333333334,0.9333333333333333
similar,PCC1D22,ガブリエル・ガルシア=マルケス,PACA7AFE,ガブリエル・ガルシア・マルケス,0.9533333333333334,0.9333333333333333
similar,P489FB88,スチュアート・バターフィールド,P2FDD45D,スチュワート・バターフィールド,0.9533333333333334,0.9333333333333333
similar,P489FB88,スチュアート・バターフィールド,PF68E8DF,ステュアート・バターフィールド,0.9533333333333334,0.9333333333333333
similar,PDDA000E,コフィー・アナン,P9BB8F72,コフィ・アナン,0.9533333333333334,0.9333333333333333
similar,PC6662A1,ビョルン・ボルグ,P77625D6,ビョン・ボルグ,0.9533333333333334,0.9333333333333333
similar,P6CD0783,ロンドンブーツ1号2号・田村淳,P9C16E4D,ロンドンブーツ1号2号・田村亮,0.9533333333333334,0.9333333333333333
similar,PCF5D9BF,ヨハン・セバスティアン・バッハ,PD079E04,ヨハン・ゼバスティアン・バッハ,0.9533333333333334,0.9333333333333333
similar,P4AAA19D,フランクリン・ルーズベルト,P70BAF93,フランクリン・D・ルーズベルト,0.95,0.9285714285714286
similar,P70DC70C,Cate Blanchett,P09A8079,Kate Blanchett,0.95,0.9285714285714286
similar,PB29019F,デイヴィッド・アッテンボロー,P231B0C9,デヴィッド・アッテンボロー卿,0.95,0.9285714285714286
similar,PF53E0B9,ヴィンセント・ファン・ゴッホ,P6C3D17A,ヴィンセント・ヴァン・ゴッホ,0.95,0.9285714285714286
similar,PF53E0B9,ヴィンセント・ファン・ゴッホ,PC9A938E,フィンセント・ファン・ゴッホ,0.95,0.9285714285714286
similar,PA8A3070,アジャコング,P0671E31,アジャ・コング,0.9461538461538461,0.9230769230769231
similar,P8160B1F,スティーブン・スピルバーグ,P64F7E78,スティーヴン・スピルバーグ,0.9461538461538461,0.9230769230769231
similar,P9C005AE,ロバート・秋山,PF6EF19F,ロバート秋山,0.9461538461538461,0.9230769230769231
similar,P97073B5,アンドレアス・ヴェサリウス,P947E727,アンドリアス・ヴェサリウス,0.9461538461538461,0.9230769230769231
