canonical_id,canonical_name,merged_id,merged_name,confidence,type
P8210F16,ヤン・ルカン,P13829E9,ヤン・ルカン,1.0,exact
P2CA69CB,アンドリュー・ング,PD4E4D49,アンドリュー・ング,1.0,exact
PBCF465A,フェイフェイ・リー,P306B342,フェイフェイ・リー,1.0,exact
PB11F03D,ハルク・ホーガン,P4620A87,ハルク・ホーガン,1.0,exact
P385ECB0,ジョルジュ・サンピエール,P3E3DC69,ジョルジュ・サンピエール,1.0,exact
P5325E2C,アンデウソン・シウバ,PE0BB368,アンデウソン・シウバ,1.0,exact
P92C859C,デヴィッド・リンチ,P1DA2BB3,デヴィッド・リンチ,1.0,exact
PACA7AFE,ガブリエル・ガルシア・マルケス,P75F85C7,ガブリエル・ガルシア・マルケス,1.0,exact
P6A20761,ジェンスン・ファン,P938D089,ジェンスン・ファン,1.0,exact
P492998C,ジョン・シナ,P107F995,ジョン・シナ,1.0,exact
PAE8B089,紫式部,PBCB339A,紫式部,1.0,exact
PFDA72E8,萩野公介,P2766766,萩野公介,1.0,exact
PA66DF78,菅野智之,P98E3963,菅野智之,1.0,exact
PF81356C,田尻智,P1458577,田尻智,1.0,exact
PBAE1780,鈴木裕,PF3AAD5D,鈴木裕,1.0,exact
P27C44EF,ジョディ・フォスター,P1D577D3,ジョディ・フォスター,1.0,exact
PD407793,マーガレット・アトウッド,P9A63709,マーガレット・アトウッド,1.0,exact
P70DC70C,ケイト・ブランシェット,P09A8079,ケイト・ブランシェット,1.0,exact
PB28A781,ジャック・クストー,P74A3AAC,ジャック・クストー,1.0,exact
PD2089EC,中山雅史,P18DEA44,中山雅史,1.0,exact
P6167C14,スタンリー・キューブリック,PA1898D6,スタンリー・キューブリック,1.0,exact
PDBB26E1,ホルヘ・ルイス・ボルヘス,P2FE3B9A,ホルヘ・ルイス・ボルヘス,1.0,exact
P7369CA5,ホイットニー・ヒューストン,PCAB570A,ホイットニー・ヒューストン,1.0,exact
P2484165,フェデリコ・フェリーニ,P27873EE,フェデリコ・フェリーニ,1.0,exact
P498083D,ティモシー・シャラメ,P268AEB8,ティモシー・シャラメ,1.0,exact
P498083D,ティモシー・シャラメ,P2D9DC09,ティモシー・シャラメ,1.0,exact
P7E0B0B5,ブラッドリー・クーパー,PAD69107,ブラッドリー・クーパー,1.0,exact
P3E6976A,ホアキン・フェニックス,P258FEEF,ホアキン・フェニックス,1.0,exact
PCDCFD9F,オスカー・アイザック,P7091809,オスカー・アイザック,1.0,exact
P9595B29,イドリス・エルバ,PCEF1569,イドリス・エルバ,1.0,exact
P4E0463B,ティルダ・スウィントン,PBCA7B5D,ティルダ・スウィントン,1.0,exact
P2151C7D,ルピタ・ニョンゴ,PFB08CF8,ルピタ・ニョンゴ,1.0,exact
PAD75754,ライナス・ポーリング,P0BD07F7,ライナス・ポーリング,1.0,exact
PF231F39,バーバラ・マクリントック,PE6228F1,バーバラ・マクリントック,1.0,exact
PF6B31D5,ロザリンド・フランクリン,P961217D,ロザリンド・フランクリン,1.0,exact
PDFDF9D5,久保帯人,PA916146,久保帯人,1.0,exact
PE7F8A67,トッド・マクファーレン,PD4E4D76,トッド・マクファーレン,1.0,exact
PC51C671,フランク・ミラー,P15D9632,フランク・ミラー,1.0,exact
P1FFA1A5,アラン・ムーア,PDFEC810,アラン・ムーア,1.0,exact
P29B840D,ジョン・ラセター,PD2AC0BA,ジョン・ラセター,1.0,exact
P78F3F12,筒井康隆,P1CC2643,筒井康隆,1.0,exact
PFCA2542,ヴィクトル・ユーゴー,PD94F063,ヴィクトル・ユーゴー,1.0,exact
P071CB8A,マルセル・プルースト,P6E44117,マルセル・プルースト,1.0,exact
PFBF0C13,アルベール・カミュ,P1D4888B,アルベール・カミュ,1.0,exact
